"Date","JDay","Coef","VIP","Tmean","Tstdev"
1001,-91,0.423376762330211,1.34051038299676,12.0072244556818,1.22090837163651
1002,-90,0.423376762330211,1.34051038299676,11.7243583950758,0.928488595682115
1003,-89,0.423376762330211,1.34051038299676,11.3876279784091,0.993423136719218
1004,-88,0.423376762330211,1.34051038299676,11.4647899481061,0.55536141924562
1005,-87,0.423376762330216,1.34051038299677,11.6061895806818,0.0280194677053328
1006,-86,-0.423376762330211,1.34051038299676,11.8193128409091,0.497645971061579
1007,-85,-0.423376762330211,1.34051038299676,12.2797551515152,0.992113978800522
1008,-84,-0.423376762330211,1.34051038299676,13.1631390530303,1.09545508442651
1009,-83,-0.423376762330211,1.34051038299676,13.8875423863636,1.17231728837715
1010,-82,-0.423376762330211,1.34051038299676,14.3518564772727,1.33498686392641
1011,-81,-0.424194264684588,1.31619810530587,14.6772930681818,1.20566514434858
1012,-80,-0.377684598948112,1.07485302931233,15.1329091666667,0.687232365039707
1013,-79,-0.220003098812327,0.515577296270605,15.5342764393939,0.775870232190202
1014,-78,-0.146380202414366,0.306931807941007,15.7386339962121,1.01254649266877
1015,-77,0.0130362566244343,0.353300014828772,15.6177813825758,1.17414501235793
1016,-76,0.163703391618934,0.759434037210525,15.5409068712121,1.58656513692772
1017,-75,0.233903962320156,0.948417286366238,15.250426719697,2.16661896303832
1018,-74,0.252899366964068,0.998177993223069,14.7213449015152,2.69690745903274
1019,-73,0.261150682519978,1.01954993944816,14.2976840681818,3.06809746738836
1020,-72,0.270677001047213,1.04401969492513,13.8815505454545,3.51792679492622
1021,-71,0.297900824088687,1.11255116250942,13.6531491060606,4.1405116658376
1022,-70,0.318395319936685,1.16247510819398,13.0014109507576,4.5411092733294
1023,-69,0.321586438916603,1.17009266192917,12.0309885688554,4.79064196742982
1024,-68,0.320039998737106,1.16640688407703,11.4797622914495,4.96956015542075
1025,-67,0.307060857272439,1.13506639734354,10.876182651298,4.97204621469822
1026,-66,0.287386574233453,1.08635031133423,10.5873766623304,5.00521410016482
1027,-65,0.272096614754573,1.04764627145736,10.2635696964213,4.72031024016378
1028,-64,0.283815528577901,1.07737165468726,10.2688806547546,4.78865471313522
1029,-63,0.300848717806146,1.11983022769579,10.0365668479364,4.96167968896166
1030,-62,0.305439576932741,1.13110385093312,9.50163917369402,5.18001016521251
1031,-61,0.298030540653356,1.11287210440604,9.36156686308796,5.14445744969938
1101,-60,0.27047183389828,1.04349513073988,9.16225902217887,4.80709229369669
1102,-59,0.238635779853425,0.960881121917788,9.55023630626978,4.78881606857478
1103,-58,0.220890205319091,0.913926037787459,9.94734408589921,4.80702649627661
1104,-57,0.201965968703616,0.863272385682896,10.1847673246687,4.70030326399936
1105,-56,0.176978767886251,0.795641664114257,10.5177425955021,4.60713126698447
1106,-55,0.153261813765051,0.73085083315985,10.7671516268939,4.44894541429333
1107,-54,0.120018213124713,0.639469228857918,11.1199382935606,4.57557244220027
1108,-53,0.0641664493833229,0.486596881143317,11.100145592803,4.64308882626945
1109,-52,0.0221592719803251,0.376079253839777,11.0675135473485,4.79132430711068
1110,-51,-0.000312129568608668,0.321283773300475,10.8512114116099,4.90652707187432
1111,-50,-0.00130081327592993,0.318987671632795,10.5359428699432,5.11180805054999
1112,-49,0.0117607050510817,0.350167316740366,10.0345230593371,5.35782645118525
1113,-48,0.0410337428462313,0.424848412051225,9.36821525630682,5.36911192884613
1114,-47,0.0517559653957806,0.462109556173625,8.90330665214015,5.3767173531537
1115,-46,0.05276986096854,0.482076496155231,8.66251399001894,5.50709066375788
1116,-45,0.0714004217674256,0.550615924742449,8.38819306198864,5.64711620788026
1117,-44,0.0792335453789958,0.590431857917826,8.29268829607955,5.79725074034625
1118,-43,0.0931262150804133,0.642133836287924,8.17944742486742,5.97512602215036
1119,-42,0.100414391591521,0.676019739007584,8.16583011426136,6.18120691336759
1120,-41,0.0953468471254051,0.677178045153914,8.23274668623106,6.25163794901821
1121,-40,0.103726485083314,0.709112316207712,8.63414570075757,6.19334509279207
1122,-39,0.124845636910739,0.777089667798381,9.17186931818182,6.08304194473237
1123,-38,0.146512120125345,0.839993898878887,9.89308011363636,6.149381084364
1124,-37,0.145271865528904,0.841254402445902,10.7476677651515,6.06611062393005
1125,-36,0.146075979134139,0.844121455469002,11.6543910094697,5.85796584740386
1126,-35,0.150865060661905,0.852612545569016,12.0455275056818,5.54766469951497
1127,-34,0.153168347866351,0.852615343888817,12.7232434280303,5.07461090759691
1128,-33,0.165085335823547,0.872693015908261,13.3363487121212,4.74448939235883
1129,-32,0.187545175019263,0.910407762024978,13.6666970075758,4.81524192886038
1130,-31,0.200323481319077,0.921301062402089,13.9829929166667,4.81280903249667
1201,-30,0.213907759845163,0.935186361450578,14.4599737121212,4.70065687474307
1202,-29,0.20289246691507,0.897322570605476,14.8846183712121,4.64951440045121
1203,-28,0.199832510364211,0.889780237679692,14.8750047348485,4.47513593395826
1204,-27,0.198360774170616,0.886147906150792,14.9540568181818,4.2432663222786
1205,-26,0.192236563607764,0.871001364308851,14.9941543560606,4.2810937058794
1206,-25,0.195657716189984,0.879468825002084,14.8434185606061,4.52957916546158
1207,-24,0.219184723534089,0.937239705884132,15.0038693181818,4.97419066545503
1208,-23,0.232355024055916,0.969176931590618,14.9436183712121,5.58230604387123
1209,-22,0.244127836729896,0.997440212737602,14.6768465909091,6.23122822902588
1210,-21,0.249487577763313,1.01020979090633,14.5317623106061,6.55897048206511
1211,-20,0.252834436980069,1.01815073693417,14.3596070075758,6.78170987211253
